,,,,,,,,,Response,Response,Response,Response,Please list all that apply.,Response,Response,Open-Ended Response,Open-Ended Response,Response,Response,Response,Response,Open-Ended Response,Response,Response,Response,Response,Response,Response,Response,Open-Ended Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
114457141862,427833415,2023-11-07 09:01:51,2023-11-07 09:07:53,172.12.109.195,,,,,65+,Female,No,Black or African-American,,Retired,Associate (2-year) degree,Cobb,30144,Yes,No,Yes,Sometimes,"Availability of the location, prior notification if the event to allow for participation",Yes,Yes,Yes,Yes,Yes,Yes,Local,"Freedom of our children to read diverse literature, gun control affordable housing",Yes,No,No,I only know 1 or 2,Never,Never,Sometimes,Sometimes,Never
114438426642,427833415,2023-10-16 20:42:48,2023-10-16 20:55:25,71.56.78.254,,,,,18-24,Female,No,Asian,,Employed part-time,High school diploma or GED,Cobb,30144,Yes,No,Yes,Often,"I have a passion for policy, and I want to study in that field. I like participating in these discussions, so I can listen and reflect on multiple perspectives on different issues. I believe the awareness that policies affect my lives and so many people around me influences me to have an active engagement with civic activities.",Yes,Yes,Yes,No,Yes,Yes,Federal,Woman's healthcare and agency  Cop City/Environmental Racism   Student Financial Support,Yes,No,No,I can name some of them,Rarely,Never,Rarely,Rarely,Sometimes
114438392689,427833415,2023-10-16 20:01:58,2023-10-16 20:06:09,207.190.18.4,,,,,45-54,Female,No,White,,Employed full-time,Associate (2-year) degree,Cobb,30144,Yes,Yes,Yes,Often,It is our duty to participate in our democracy and to give back to our community.,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Transportation, affordable housing, poverty",Yes,No,No,I can name some of them,Rarely,Never,Rarely,Sometimes,Never
114431051489,427833415,2023-10-07 00:03:21,2023-10-07 00:05:48,71.204.90.159,,,,,35-44,Female,No,Asian,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30144,No,No,No,Sometimes,Don’t have enough time. Not online,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Rising costs, low wages, healthcare ",No,No,No,I only know 1 or 2,Never,Never,Never,Never,Never
114461263081,427833415,2023-11-11 13:08:21,2023-11-11 13:12:43,174.207.103.180,,,,,55-64,Male,No,Black or African-American,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30152,No,No,Yes,Sometimes,Impact or potential impact on the AA community,Yes,Yes,Yes,Yes,Yes,Yes,State,Ongoing racism Women’s rights Voting rights,Yes,No,No,I can name some of them,Rarely,Rarely,Sometimes,Rarely,Never
114434414884,427833415,2023-10-11 13:20:20,2023-10-11 13:25:02,99.113.167.192,,,,,55-64,Female,No,White,,Employed full-time,Master’s degree,Cobb,30152,Yes,Yes,Yes,Often,The Democratic Party is full of America hating assholes that must be stopped.,Yes,Yes,Yes,Yes,Yes,Yes,Local,2020 stolen election   Woke assholes trying to take over my county with their stupid garbage policies   1st and 2nd amendment rights abuses by the democrats ,Yes,No,No,I can name all of them,Sometimes,Sometimes,Sometimes,Rarely,Sometimes
114431038645,427833415,2023-10-06 23:29:05,2023-10-06 23:51:45,172.56.64.213,,,,,25-34,Non Binary,Prefer not to answer,Prefer not to answer,,Disabled,"Some college, no degree",Cobb,30152,Yes,Yes,No,Sometimes,Don't have enough energy/ too sick due to disabilities.,Yes,Yes,Yes,Yes,Yes,Yes,Local,in no particular order  -Housing costs  - The school board choosing to give students an incomplete and blantantly false education by banning critical race theory and deeming age-appropriate discussion of gender identity as inappropriate.  - Gentrification,No,No,No,I can name some of them,Rarely,Rarely,Never,Never,Rarely
114458082855,427833415,2023-11-08 06:53:25,2023-11-08 07:02:04,166.199.100.54,,,,,35-44,Female,No,Black or African-American,,Employed full-time,Bachelor’s (4-year) degree,Paulding,30157,No,No,No,Don't Know,Not interested,Yes,Yes,Yes,Unsure / Don’t know,No,Unsure / Don’t know,State,"Lack of knowledge, resources,",No,Yes,No,I don't know any of them,Never,Never,Often,Sometimes,Never
114462186901,427833415,2023-11-13 08:08:49,2023-11-13 08:13:35,104.28.32.192,,,,,25-34,Male,No,Black or African-American,,Employed full-time,Master’s degree,Cobb,30168,Yes,No,Yes,Often,"How relevant it is to my personal live including my family, interests, or community.",Yes,Yes,Yes,Yes,Yes,Yes,Local,"1) Lack of information regarding changes to education, healthcare, or civic matters. 2) Lack of resources to combat inflation and poverty 3) Public Safety/community relations - tensions between government officials, business owners, and random strangers is at an all time high. We desperately need more peace, love, and understanding.",No,No,No,I can name some of them,Rarely,Sometimes,Sometimes,Rarely,Rarely
114457223879,427833415,2023-11-07 10:15:16,2023-11-07 10:26:17,99.116.218.22,,,,,65+,Female,No,Other,,Retired,"Some college, no degree",Cobb,30168,No,No,Yes,Don't Know,Knowledge,Yes,Yes,Yes,Yes,Yes,Yes,Local,Unsure at this time. Thank God no shooting. Homeless Seniors Food for family,No,No,No,I don't know any of them,Rarely,Sometimes,Don't Know,Don't Know,Never
114457196396,427833415,2023-11-07 09:56:44,2023-11-07 10:00:49,73.210.69.253,,,,,25-34,Female,No,Black or African-American,,Employed part-time,Associate (2-year) degree,Cobb,30168,No,No,No,Rarely,Knowledge of them taking place. Time of day. Topic,Yes,Yes,No,No,No,Unsure / Don’t know,State,"Affordable Housing, rising inflation, increasing property taxes",No,No,Yes,I only know 1 or 2,Rarely,Sometimes,Don't Know,Sometimes,Sometimes
114457153590,427833415,2023-11-07 09:05:20,2023-11-07 09:19:03,67.191.197.133,,,,,45-54,Male,No,Black or African-American,,Employed part-time,Master’s degree,Cobb,30168,Yes,No,Yes,Often,Time of the events,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Lack of affordable housing, lack of public transportation options and gerrymandered maps to decrease minority voting power/voice.",Yes,No,No,I can name all of them,Often,Often,Sometimes,Sometimes,Often
114422312651,427833415,2023-09-26 23:12:28,2023-09-26 23:20:18,76.97.232.12,,,,,55-64,Female,No,Black or African-American,,Employed part-time,Bachelor’s (4-year) degree,Cherokee,30189,Yes,No,Yes,Sometimes,Issues I believe in,Yes,Yes,Yes,Yes,Yes,Yes,State,"Affordable housing, education equity, rising costs",No,No,No,I can name some of them,Sometimes,Rarely,Rarely,Rarely,Sometimes
114457782606,427833415,2023-11-07 21:07:10,2023-11-07 21:11:45,104.188.176.79,,,,,45-54,Female,No,Black or African-American,,Employed full-time,High school diploma or GED,United States,30213,No,No,No,Never,Proper planing and organized,Yes,Yes,Yes,Yes,Yes,Yes,State,"Corruption, Taxes, water, senior activities and parks",No,No,No,I only know 1 or 2,Never,Never,Sometimes,Sometimes,Rarely
114457484908,427833415,2023-11-07 14:35:30,2023-11-07 14:38:07,108.147.177.123,,,,,35-44,Female,No,Black or African-American,,Employed full-time,Associate (2-year) degree,Henry,30294,No,No,No,Rarely,None,Yes,Yes,Yes,Yes,Yes,Yes,Federal,I don't know,No,No,Yes,I only know 1 or 2,Rarely,Rarely,Don't Know,Don't Know,Never
114457536586,427833415,2023-11-07 15:20:56,2023-11-07 15:28:25,172.56.68.204,,,,,18-24,Female,No,Black or African-American,,Employed part-time,High school diploma or GED,Dekalb,30306,No,No,No,Sometimes,what’s it for?,Unsure / Don’t know,No,No,No,No,Yes,Local,"Schools, where the taxes are going, lack of street lights",No,Yes,No,I don't know any of them,Never,Never,Never,Rarely,Never
114457533644,427833415,2023-11-07 15:21:38,2023-11-07 15:25:27,174.209.96.120,,,,,25-34,Female,No,Black or African-American,,Employed full-time,Bachelor’s (4-year) degree,United States,30310,No,Yes,Yes,Sometimes,Ability for stability! Incentives!,Yes,Yes,Yes,Yes,No,Yes,State,"LGBTQA Rights, Board of Education issues, and Environmental Crises",Yes,Yes,Yes,I only know 1 or 2,Rarely,Rarely,Sometimes,Rarely,Sometimes
114488095517,427833415,2023-12-13 13:15:22,2023-12-13 13:26:37,99.153.142.223,,,,,65+,Male,No,Black or African-American,,Retired,Master’s degree,United States,30328,Yes,Yes,Yes,Often,"Poverty, inequities, health disparities, affordable housing, voting rights, improved education.",Yes,Yes,Yes,Yes,Yes,Yes,State,"poverty, health equities, education disparities",Yes,No,No,I can name some of them,Rarely,Rarely,Sometimes,Sometimes,Never
114463624935,427833415,2023-11-14 14:16:29,2023-11-14 14:23:34,98.242.72.236,,,,,65+,Female,No,White,,Retired,Master’s degree,Cobb,30339,Yes,Yes,Yes,Often,"I think that to earn the privilege of evaluating or criticizing something, you need to step up to the plate and be part of the process - learning, listening, reacting, acting.",Yes,Yes,Yes,Yes,Yes,Yes,Local,"Locally: Public safety/walkability, partisan decision making at both county level and in school district, respectable affordable housing. Broader scale: Gun violence",Yes,No,Yes,I can name all of them,Often,Sometimes,Sometimes,Sometimes,Sometimes
114457787985,427833415,2023-11-07 21:17:07,2023-11-07 21:22:07,98.62.184.181,,,,,65+,Female,No,Black or African-American,,Unemployed,"Some college, no degree",Cobb,30339,No,Yes,No,Rarely,Time and availability,Yes,Yes,Yes,Yes,Yes,Yes,Federal,Economy,Yes,Yes,Yes,I can name some of them,Rarely,Rarely,Sometimes,Sometimes,Never
114457772750,427833415,2023-11-07 20:51:54,2023-11-07 20:54:37,99.184.135.20,,,,,45-54,Female,No,Black or African-American,,Unemployed,Bachelor’s (4-year) degree,Cobb,30339,No,No,No,Rarely,n/a,Yes,Yes,Yes,Yes,Yes,Yes,Federal,N/a,No,No,No,I can name some of them,Never,Don't Know,Never,Sometimes,Never
114431939796,427833415,2023-10-09 00:00:12,2023-10-09 00:07:14,24.98.18.252,,,,,25-34,Female,No,White,,Employed full-time,"Some college, no degree",Cobb,30339,No,Yes,No,Rarely,Don’t have enough time,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Rising costs, education equity and healthcare",No,No,No,I can name some of them,Rarely,Never,Don't Know,Don't Know,Never
114431813334,427833415,2023-10-08 17:38:50,2023-10-08 17:44:20,24.98.18.252,,,,,35-44,Non Binary,No,White,,Employed full-time,"Some college, no degree",Cobb,30339,No,No,No,Rarely,Not sure what use of my time is best spent to instigate change,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Rising cost of housing, healthcare, education quality",No,Yes,No,I can name some of them,Never,Don't Know,Don't Know,Sometimes,Never
114423485729,427833415,2023-09-28 06:21:04,2023-09-28 06:28:26,156.146.46.92,,,,,55-64,Male,No,White,,Retired,Associate (2-year) degree,Cobb,30339,No,No,No,Sometimes,Time and interest,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Affordable housing, Access to healthcare, Educational and employment opportunity for historically marginalized communities",No,No,Yes,I can name all of them,Rarely,Often,Often,Sometimes,Rarely
114423276627,427833415,2023-09-27 22:24:51,2023-09-27 22:29:34,174.163.12.138,,,,,65+,Male,No,White,,Retired,Doctorate degree,Cobb,30339,Yes,Yes,Yes,Sometimes,Interest in topic issue and/or if I possess significant level of knowledge on the issue,Yes,Yes,Yes,Yes,Yes,Yes,State,"Smart economic development, good quality education, honest government ",Yes,Yes,Yes,I can name some of them,Sometimes,Sometimes,Often,Rarely,Rarely
114487313739,427833415,2023-12-12 17:23:29,2023-12-12 17:27:32,73.82.190.1,,,,,65+,Male,No,Black or African-American,,Retired,Doctorate degree,Fulton,30349,Yes,Yes,Yes,Often,The mission of the organization,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Employment, Education, Criminal Justice",Yes,Yes,Yes,I can name all of them,Often,Often,Often,Sometimes,Sometimes
114434521699,427833415,2023-10-11 15:07:29,2023-10-11 15:17:57,104.185.202.221,,,,,65+,Male,No,White,,Retired,Doctorate degree,Cobb,30062-2055,Yes,Yes,Yes,Often,Patriotism. Defeat deep state advocates in Cobb County and the State of Georgia through our elections.,Yes,Yes,Yes,Yes,Yes,Yes,State,The 3 Socialists on the Cobb Board of Commissioners!  Extreme and unjustified overspending of Cobb County tax dollars.  Cobb Commissioner Jerica Richardson is a failure! ,Yes,No,No,I can name some of them,Often,Rarely,Rarely,Never,Often
114471579047,427833415,2023-11-24 09:47:01,2023-11-24 09:54:43,73.54.203.7,,,,,65+,Male,No,Black or African-American,,Retired,Bachelor’s (4-year) degree,Cobb,30339-5691,Yes,No,Yes,Rarely,"Time, interest, impact",Yes,Yes,Yes,Yes,Yes,Yes,State,Banning of book Gun control Gerrymandering,No,No,No,I can name some of them,Rarely,Rarely,Never,Never,Sometimes
